"ID_W9","SwitchedToRandom","Open_Comments","Open_Comments_W","comment","empty_like","comment_scale","scale_label"
300906684740720,"","J","","j",FALSE,3,"3 = other/unclear"
300906684740723,"","sehr Politik lastig","","sehr politik lastig",FALSE,2,"2 = content-focused"
300906684740726,"1","Nicht wirklich","Als ich mehr die von ihnen angezeigten Videos angesehen habe, habe ich mir tatsächlich die Frage gestellt. Gibt es tatsächlich Menschen draußen, die sich das tatsächlich jeden Tag stundenlang antun? Haben diese Leute kein richtiges Leben und wo soll d","nicht wirklich",FALSE,3,"3 = other/unclear"
300906684740732,"","Ich habe die Kommentarfunktion vermisst.","","ich habe die kommentarfunktion vermisst.",FALSE,1,"1 = platform-focused"
300906684740733,"1","Im Bundestag geht es ja tatsächlich so zu   Viele sitzen unkonzentriert und desinteressiert da drinnen.  Viele scheinen sogar am Smartphone zu datteln!   Gehört Smartphone verbot eingeführt!","","im bundestag geht es ja tatsächlich so zu viele sitzen unkonzentriert und desinteressiert da drinnen. viele scheinen sogar am smartphone zu datteln! gehört smartphone verbot eingeführt!",FALSE,2,"2 = content-focused"
300906684740737,"","Sehr ähnlich wie auf anderen Plattformen","","sehr ähnlich wie auf anderen plattformen",FALSE,1,"1 = platform-focused"
300906684740739,"","Schrecklich.","","schrecklich.",FALSE,3,"3 = other/unclear"
300906684740742,"","Nein, war ganz nett","","nein, war ganz nett",FALSE,2,"2 = content-focused"
300906684740746,"","Nö war normal  Passt soweit.","","nö war normal passt soweit.",FALSE,3,"3 = other/unclear"
300906684740751,"","nein ist wie tiktok bzw instagram","","nein ist wie tiktok bzw instagram",FALSE,1,"1 = platform-focused"
300906684741787,"1","Danke, ich wollte schon immer dass mir Akademiker (die sich überlegen fühlen) erklären wie man Social Media nutzt.","die Musik war nervig und schrill","danke, ich wollte schon immer dass mir akademiker (die sich überlegen fühlen) erklären wie man social media nutzt.",FALSE,3,"3 = other/unclear"
300906684741791,"","Nicht glaubwürdige Beiträge","","nicht glaubwürdige beiträge",FALSE,2,"2 = content-focused"
300906684741807,"","hat funktioniert, das war toll","","hat funktioniert, das war toll",FALSE,1,"1 = platform-focused"
300906684741816,"1","Ich würde mich nie auf so einer Videoplattform anmelden","Nein","ich würde mich nie auf so einer videoplattform anmelden",FALSE,1,"1 = platform-focused"
300906684741818,"","Es war politisch aber auch teilweise Unterhaltung. Manche Kommentare waren interessant und sinnvoll die anderen waren unmöglich.","","es war politisch aber auch teilweise unterhaltung. manche kommentare waren interessant und sinnvoll die anderen waren unmöglich.",FALSE,2,"2 = content-focused"
300906684741825,"","War sehr interessant","","war sehr interessant",FALSE,2,"2 = content-focused"
300906684741826,"","letztendlich nichts neues","","letztendlich nichts neues",FALSE,2,"2 = content-focused"
300906684741828,"","nein ich möchte nix mitteilen","","nein ich möchte nix mitteilen",FALSE,3,"3 = other/unclear"
300906684741829,"","Interessant!","","interessant!",FALSE,3,"3 = other/unclear"
300906684741833,"","Schöne vedip","","schöne vedip",FALSE,2,"2 = content-focused"
300906684741834,"","unterschiedliche Lautstärken sind nicht optimal","","unterschiedliche lautstärken sind nicht optimal",FALSE,1,"1 = platform-focused"
300906684741835,"","War nicht gut zu erkennen, ob dass was ich angeklickt habe auch bei Ihnen in der MAFO angekommen ist. Sollte man, nachdem man sich entschieden hat etwas anzuklicken und es auch getan hat, dann auf den Weiter-Pfeil gehen? Habe ich dann irgendwann gemacht.","","war nicht gut zu erkennen, ob dass was ich angeklickt habe auch bei ihnen in der mafo angekommen ist. sollte man, nachdem man sich entschieden hat etwas anzuklicken und es auch getan hat, dann auf den weiter-pfeil gehen? habe ich dann irgendwann gemacht.",FALSE,1,"1 = platform-focused"
300906684741837,"","Uninteressant","","uninteressant",FALSE,2,"2 = content-focused"
300906684742873,"1","Nein so eine Plattform mag ich nicht","Nein","nein so eine plattform mag ich nicht",FALSE,1,"1 = platform-focused"
300906684742875,"1","Danke","G","danke",FALSE,3,"3 = other/unclear"
300906684742876,"","Sehr durchgeführt,einiges interessant einiges weniger,nichts aufwühlend","","sehr durchgeführt,einiges interessant einiges weniger,nichts aufwühlend",FALSE,2,"2 = content-focused"
300906684742878,"","Nervig","","nervig",FALSE,3,"3 = other/unclear"
